0,1,2,3,4,5,6,7
-425.73895,403.25208,512.9421,336.36807,535.631,652.68835,174.12283,-862.77893
-353.24536,385.08124,483.38007,395.12964,477.85214,674.7212,218.50449,-770.82825
-319.42755,373.2533,486.92435,404.7969,429.0694,695.22614,235.69954,-736.1878
780.8438,755.54645,34.239635,-270.7808,272.0072,712.252,973.1842,-720.5547
536.3663,859.2486,121.262314,-417.66306,611.7196,497.16708,831.0902,-1054.682
785.1492,756.1675,89.67014,-299.3377,238.00378,701.1829,966.8719,-740.48676
-382.50226,389.44846,472.77206,377.2534,503.26172,682.3303,203.81052,-798.3621
649.93756,824.01025,79.65373,-369.8822,473.6588,586.5463,899.5049,-919.72015
-426.3674,408.87842,501.5821,357.94568,566.5718,627.66925,176.33478,-858.4129
790.3586,758.27655,51.331806,-313.74866,240.5959,733.37726,974.7718,-740.5817
570.3361,845.8527,96.9513,-406.0475,564.3881,540.81915,853.1152,-1010.14734
604.80164,835.9523,82.62747,-394.22122,524.23956,568.3038,873.8326,-972.11896
435.439,887.8566,115.93668,-482.07138,725.07166,471.33127,777.4831,-1172.3981
802.9708,765.29346,15.249519,-294.3774,268.98135,728.9823,990.20703,-724.27
-619.5471,464.95447,531.41833,256.50763,791.2969,529.27734,67.85149,-1084.0198
-381.72012,394.74982,492.07654,381.1508,513.429,654.5514,201.58488,-806.47406
697.1294,797.2398,63.532948,-335.37885,387.93307,645.15735,926.5644,-840.462
569.5439,816.13226,139.31018,-401.18246,481.07745,580.4686,841.25165,-987.26434
494.16794,858.2946,106.65656,-469.3835,614.624,546.453,808.17474,-1100.811
-636.7525,474.99994,549.9245,250.78882,819.5172,498.5874,55.085995,-1109.72
-665.57684,489.24634,576.45514,239.02963,866.5833,449.26862,35.6983,-1154.8296
569.6451,850.4539,108.2439,-406.10638,573.2937,523.7738,851.6619,-1017.4779
-398.95648,397.20352,487.20435,371.2391,528.6591,657.8343,193.24213,-821.8712
-326.7386,370.83624,460.86902,406.45468,436.80365,715.47034,235.01038,-734.0968
-475.56488,418.90204,489.93427,329.87848,611.689,634.13995,151.57632,-904.3376
810.3944,768.72345,37.64599,-281.5897,270.4446,698.7652,992.56213,-716.4798
608.8993,831.591,122.23646,-418.7314,483.03424,576.8161,868.2926,-983.2843
808.51605,767.564,26.523422,-289.3527,271.80414,710.04614,991.3038,-723.8749
728.50946,794.4029,57.320816,-324.0986,371.3335,643.96924,943.36365,-819.7526
574.78973,846.23706,95.66352,-407.1266,562.7271,541.805,855.62134,-1010.0006
817.0805,770.4717,46.445396,-288.64682,267.28336,691.4812,993.2259,-724.7688
-368.572,383.54114,467.83096,384.27536,486.25043,692.2841,210.55458,-784.83234
-453.94073,409.4929,482.39618,339.48276,585.5578,648.11774,164.22076,-881.7004
574.262,845.10925,99.30068,-403.22687,561.4535,539.168,854.93475,-1007.5557
567.8639,848.3584,98.35932,-408.7009,569.524,537.5834,852.0575,-1014.98376
813.5145,767.2775,63.66402,-315.2326,239.70807,711.3952,987.43823,-737.5911
-660.0738,479.20087,547.3699,237.13393,843.37866,494.79343,43.368618,-1135.0808
772.22754,783.4132,49.85266,-304.7512,323.1416,666.2328,969.14075,-771.274
466.59476,881.01086,121.10082,-466.1757,690.4205,478.3383,794.6158,-1138.8702
748.59796,796.44135,72.260155,-316.3212,363.73105,625.0759,953.50525,-809.84674
603.9393,836.208,82.01688,-394.60678,524.55457,569.8182,873.91724,-972.185
-560.7989,438.33557,490.06976,282.048,704.48804,606.8106,105.08126,-1002.1718
808.46765,772.20026,57.36592,-278.0992,283.12112,668.55365,987.0632,-729.7459
467.24155,874.2694,95.03909,-467.7823,678.8733,511.9045,798.1071,-1127.977
772.7163,782.49414,51.435078,-302.45416,321.58884,665.4371,969.33405,-769.0447
465.57858,877.50934,117.67498,-459.50394,687.90326,481.87604,793.959,-1133.1
466.3514,879.94135,114.74558,-464.9255,691.01324,482.59735,795.0249,-1137.1404
-330.16174,369.30923,489.9202,376.09982,407.7023,726.9223,226.95761,-753.069
591.75854,835.94055,115.72964,-419.1686,509.7451,567.2722,860.544,-997.2317
684.51337,795.47675,53.83585,-336.50275,402.9718,646.7171,919.97455,-852.18774
-331.04138,369.34973,451.56827,402.424,436.2289,727.6803,233.38321,-735.66113
-339.7879,366.45166,456.13327,379.61435,420.01202,750.547,227.76744,-747.2819
797.96204,779.4927,57.26879,-290.4466,300.33585,663.2727,983.8446,-744.84424
824.2485,771.77386,49.350727,-278.4976,269.46936,680.0185,997.8754,-715.9747
759.46216,786.24963,51.484127,-308.69156,334.0338,664.0515,963.4341,-779.19965
-625.91174,463.40582,518.41907,251.20224,790.2412,547.57416,65.71692,-1084.602
810.98126,766.6619,24.358685,-289.5379,268.74792,713.88275,994.2803,-719.72107
-408.14575,390.49054,454.8161,360.34497,520.68243,701.9417,192.00487,-820.00165
559.7104,836.30676,112.68399,-382.8495,557.29974,533.9879,844.58966,-997.86865
720.50415,797.8692,57.26394,-330.94455,380.87256,643.71216,942.1339,-826.3728
-400.23962,398.68848,492.73074,371.17032,533.58124,648.3094,192.15276,-826.6147
-348.6107,381.72888,484.19992,392.68942,464.5221,685.65826,221.1429,-765.7516
802.13776,770.20844,32.977833,-291.19098,281.76617,699.1866,987.21326,-732.8452
483.47083,877.50104,122.47491,-453.07254,675.6692,477.41678,803.6877,-1119.0983
-434.00412,399.31268,514.42365,312.81598,518.8656,677.72614,167.09305,-878.2435
-629.2173,471.6203,543.5223,253.23268,808.31,509.3313,61.1943,-1098.7797
-659.8416,477.43756,540.3729,235.77327,840.094,503.77606,43.80573,-1133.8031
-336.27896,368.56592,443.74106,398.30438,436.68607,739.4415,232.65024,-735.6931
-325.967,370.70087,460.561,406.46017,436.4385,715.1546,234.9978,-734.63446
677.5521,808.2646,57.898956,-353.43198,426.90884,629.69385,916.9689,-875.302
803.0082,763.0738,67.1514,-335.27393,224.9863,733.8962,980.52216,-748.92676
653.83765,807.55695,61.79366,-353.91837,442.18686,625.79785,903.01624,-889.6151
-425.81287,397.38593,462.4742,351.97464,543.9691,685.9204,181.29599,-842.3931
577.92944,842.64813,95.532814,-400.01044,553.37695,547.35376,857.7751,-998.9312
-476.5498,415.15027,479.6923,326.69586,608.15967,646.4648,151.80106,-904.9734
-580.02563,461.9639,553.89026,282.22562,761.64453,507.26437,85.992744,-1050.1815
492.1463,873.4301,116.16248,-449.92334,663.81757,487.9421,808.3244,-1109.5564
457.77673,885.8492,149.4196,-453.09323,708.909,436.93286,785.2135,-1148.3204
-464.22665,406.8594,465.04352,330.8277,586.7668,670.9352,160.38142,-886.4306
791.1472,773.8076,35.454365,-296.27878,294.4717,692.5337,980.5491,-745.365
-588.30316,455.50427,525.83636,272.9232,754.9755,545.5372,84.16664,-1049.2355
679.16705,816.06006,107.23001,-368.6001,426.3188,588.7666,908.542,-903.3222
698.60443,805.0371,56.97824,-346.58844,409.47794,632.2266,927.2636,-860.3222
-565.19977,444.3137,513.7566,277.86627,714.9035,579.2098,97.75832,-1019.67346
742.6348,792.845,58.339878,-319.7423,359.8039,645.9079,951.9444,-807.7927
510.69357,852.214,103.57481,-420.3849,614.31885,526.7043,819.09296,-1058.7441
461.24994,886.69824,161.82117,-482.3942,689.8359,449.2242,783.81366,-1165.6404
655.0821,825.1443,89.84946,-364.37485,473.84232,572.63696,900.12103,-919.3983
-654.68536,469.94717,512.981,234.9117,816.74194,550.2546,52.013874,-1109.8513
